iter	Passed	Remaining
552	6316	5105
553	6325	5092
554	6336	5080
555	6347	5068
556	6360	5058
557	6371	5046
558	6382	5035
559	6391	5021
560	6400	5008
561	6412	4997
562	6425	4987
563	6439	4977
564	6451	4966
565	6467	4959
566	6480	4948
567	6505	4947
568	6519	4938
569	6534	4929
570	6545	4917
571	6565	4912
572	6577	4901
573	6588	4889
574	6598	4877
575	6610	4865
576	6620	4853
577	6640	4848
578	6652	4836
579	6663	4825
580	6679	4817
581	6695	4808
582	6709	4799
583	6720	4787
584	6732	4775
585	6750	4769
586	6761	4757
587	6777	4749
588	6794	4740
589	6802	4727
590	6814	4715
591	6825	4704
592	6835	4691
593	6847	4680
594	6858	4668
595	6867	4654
596	6875	4641
597	6883	4627
598	6894	4615
599	6904	4603
600	6914	4590
601	6922	4576
602	6934	4565
603	6949	4556
604	6960	4544
605	6976	4535
606	6985	4523
607	6998	4512
608	7011	4501
609	7020	4488
610	7031	4476
611	7045	4466
612	7057	4455
613	7076	4448
614	7090	4438
615	7104	4428
616	7115	4417
617	7127	4405
618	7138	4393
619	7149	4381
620	7163	4371
621	7177	4361
622	7193	4352
623	7204	4340
624	7216	4329
625	7230	4319
626	7241	4307
627	7256	4298
628	7268	4287
629	7278	4274
630	7287	4261
631	7298	4249
632	7308	4237
633	7317	4224
634	7327	4211
635	7336	4198
636	7346	4186
637	7357	4174
638	7367	4162
639	7382	4152
640	7394	4141
641	7407	4130
642	7417	4118
643	7428	4106
644	7440	4095
645	7450	4082
646	7463	4072
647	7473	4059
648	7490	4051
649	7500	4038
650	7509	4026
651	7522	4015
652	7533	4003
653	7548	3993
654	7559	3981
655	7570	3969
656	7582	3958
657	7591	3945
658	7604	3934
659	7613	3922
660	7624	3910
661	7633	3897
662	7645	3886
663	7654	3873
664	7666	3862
665	7676	3849
666	7687	3838
667	7697	3825
668	7707	3813
669	7722	3803
670	7732	3791
671	7744	3779
672	7754	3767
673	7766	3756
674	7776	3744
675	7786	3732
676	7796	3719
677	7809	3708
678	7821	3697
679	7834	3686
680	7845	3675
681	7857	3663
682	7868	3652
683	7878	3639
684	7889	3627
685	7899	3615
686	7911	3604
687	7919	3591
688	7930	3579
689	7941	3567
690	7953	3556
691	7967	3546
692	7979	3534
693	7994	3524
694	8008	3514
695	8023	3504
696	8034	3492
697	8046	3481
698	8058	3470
699	8072	3459
700	8082	3447
701	8091	3434
702	8100	3422
703	8111	3410
704	8120	3398
705	8130	3385
706	8146	3375
707	8159	3365
708	8171	3353
709	8183	3342
710	8193	3330
711	8202	3317
712	8210	3305
713	8221	3293
714	8232	3281
715	8243	3269
716	8251	3256
717	8261	3244
718	8272	3233
719	8283	3221
720	8295	3209
721	8307	3198
722	8319	3187
723	8329	3175
724	8346	3165
725	8359	3154
726	8370	3143
727	8380	3131
728	8391	3119
729	8401	3107
730	8410	3095
731	8420	3082
732	8430	3070
733	8440	3058
734	8451	3047
735	8463	3035
736	8474	3024
737	8488	3013
738	8501	3002
739	8512	2990
740	8526	2980
741	8536	2968
742	8544	2955
743	8558	2944
744	8571	2933
745	8582	2922
746	8593	2910
747	8605	2899
748	8615	2887
749	8626	2875
750	8636	2863
751	8651	2853
752	8662	2841
753	8672	2829
754	8681	2817
755	8689	2804
756	8698	2792
757	8707	2779
758	8715	2767
759	8724	2755
760	8732	2742
761	8740	2730
762	8749	2717
763	8765	2707
764	8777	2696
765	8789	2684
766	8799	2673
767	8814	2662
768	8829	2652
769	8842	2641
770	8851	2629
771	8861	2617
772	8870	2604
773	8877	2592
774	8888	2580
775	8897	2568
776	8908	2556
777	8918	2544
778	8927	2532
779	8936	2520
780	8946	2508
781	8962	2498
782	8977	2488
783	8990	2476
784	9002	2465
785	9011	2453
786	9024	2442
787	9039	2431
788	9050	2420
789	9058	2408
790	9072	2397
791	9084	2385
792	9092	2373
793	9107	2362
794	9119	2351
795	9130	2340
796	9145	2329
797	9152	2316
798	9162	2304
799	9172	2293
800	9184	2281
801	9198	2270
802	9210	2259
803	9222	2248
804	9234	2236
805	9242	2224
806	9253	2213
807	9261	2200
808	9271	2188
809	9281	2177
810	9291	2165
811	9301	2153
812	9311	2141
813	9327	2131
814	9337	2119
815	9347	2107
816	9355	2095
817	9365	2083
818	9376	2072
819	9386	2060
820	9397	2048
821	9409	2037
822	9420	2026
823	9432	2014
824	9443	2003
825	9452	1991
826	9465	1980
827	9476	1968
828	9484	1956
829	9493	1944
830	9503	1932
831	9514	1921
832	9523	1909
833	9533	1897
834	9543	1885
835	9554	1874
836	9564	1862
837	9575	1851
838	9584	1839
839	9596	1827
840	9607	1816
841	9617	1804
842	9626	1792
843	9638	1781
844	9647	1769
845	9659	1758
846	9668	1746
847	9676	1734
848	9687	1723
849	9697	1711
850	9707	1699
851	9717	1687
852	9726	1676
853	9738	1664
854	9753	1654
855	9763	1642
856	9774	1630
857	9783	1619
858	9793	1607
859	9803	1595
860	9811	1584
861	9821	1572
862	9834	1561
863	9842	1549
864	9852	1537
865	9861	1525
866	9871	1514
867	9883	1503
868	9892	1491
869	9904	1479
870	9915	1468
871	9924	1456
872	9934	1445
873	9943	1433
874	9952	1421
875	9961	1410
876	9974	1398
877	9988	1387
